 id | parent_id |          route_name          | menu_type |          menu_name           |          route_path           |             component             |                       icon                        | icon_type |              i18n_key              | order | status | hide_in_menu | keep_alive | constant | multi_tab |                           href                           |     active_menu     | fixed_index_in_tab | query |                                                                     buttons                                                                     |          created_at           | created_by | updated_at | updated_by | deleted_at | deleted_by | protected 
 20 |        12 | alova_scenes                 |         2 | alova_scenes                 | /alova/scenes                 | view.alova_scenes                 | cbi:scene-dynamic                                 |         1 | route.alova_scenes                 |     3 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 21 |         7 | function_hide-child          |         1 | function_hide-child          | /function/hide-child          |                                   | material-symbols:filter-list-off                  |         1 | route.function_hide-child          |     2 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 22 |         7 | function_multi-tab           |         2 | function_multi-tab           | /function/multi-tab           | view.function_multi-tab           | ic:round-tab                                      |         1 | route.function_multi-tab           |       |      1 | t            |            |          | t         |                                                          | function_tab        |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 23 |         7 | function_request             |         2 | function_request             | /function/request             | view.function_request             | carbon:network-overlay                            |         1 | route.function_request             |     3 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 24 |         7 | function_super-page          |         2 | function_super-page          | /function/super-page          | view.function_super-page          | ic:round-supervisor-account                       |         1 | route.function_super-page          |     5 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 25 |         7 | function_tab                 |         2 | function_tab                 | /function/tab                 | view.function_tab                 | ic:round-tab                                      |         1 | route.function_tab                 |     1 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 26 |        13 | multi-menu_first             |         1 | multi-menu_first             | /multi-menu/first             |                                   |                                                   |           | route.multi-menu_first             |     1 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 27 |        13 | multi-menu_second            |         1 | multi-menu_second            | /multi-menu/second            |                                   |                                                   |           | route.multi-menu_second            |     2 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 28 |        14 | plugin_barcode               |         2 | plugin_barcode               | /plugin/barcode               | view.plugin_barcode               | ic:round-barcode                                  |         1 | route.plugin_barcode               |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 29 |        14 | plugin_charts                |         1 | plugin_charts                | /plugin/charts                |                                   | mdi:chart-areaspline                              |         1 | route.plugin_charts                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 30 |        14 | plugin_copy                  |         2 | plugin_copy                  | /plugin/copy                  | view.plugin_copy                  | mdi:clipboard-outline                             |         1 | route.plugin_copy                  |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 31 |        14 | plugin_editor                |         1 | plugin_editor                | /plugin/editor                |                                   | icon-park-outline:editor                          |         1 | route.plugin_editor                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 32 |        14 | plugin_excel                 |         2 | plugin_excel                 | /plugin/excel                 | view.plugin_excel                 | ri:file-excel-2-line                              |         1 | route.plugin_excel                 |       |      1 |              | t          |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 33 |        14 | plugin_gantt                 |         1 | plugin_gantt                 | /plugin/gantt                 |                                   | ant-design:bar-chart-outlined                     |         1 | route.plugin_gantt                 |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 34 |        14 | plugin_icon                  |         2 | plugin_icon                  | /plugin/icon                  | view.plugin_icon                  | custom-icon                                       |         2 | route.plugin_icon                  |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 35 |        14 | plugin_map                   |         2 | plugin_map                   | /plugin/map                   | view.plugin_map                   | mdi:map                                           |         1 | route.plugin_map                   |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 36 |        14 | plugin_pdf                   |         2 | plugin_pdf                   | /plugin/pdf                   | view.plugin_pdf                   | uiw:file-pdf                                      |         1 | route.plugin_pdf                   |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 37 |        14 | plugin_pinyin                |         2 | plugin_pinyin                | /plugin/pinyin                | view.plugin_pinyin                | entypo-social:google-hangouts                     |         1 | route.plugin_pinyin                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 38 |        14 | plugin_print                 |         2 | plugin_print                 | /plugin/print                 | view.plugin_print                 | mdi:printer                                       |         1 | route.plugin_print                 |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 39 |        14 | plugin_swiper                |         2 | plugin_swiper                | /plugin/swiper                | view.plugin_swiper                | simple-icons:swiper                               |         1 | route.plugin_swiper                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 40 |        14 | plugin_tables                |         1 | plugin_tables                | /plugin/tables                |                                   | icon-park-outline:table                           |         1 | route.plugin_tables                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 41 |        14 | plugin_typeit                |         2 | plugin_typeit                | /plugin/typeit                | view.plugin_typeit                | mdi:typewriter                                    |         1 | route.plugin_typeit                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 42 |        14 | plugin_video                 |         2 | plugin_video                 | /plugin/video                 | view.plugin_video                 | mdi:video                                         |         1 | route.plugin_video                 |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 43 |        15 | pro-naive_form               |         1 | pro-naive_form               | /pro-naive/form               |                                   | fluent:form-28-regular                            |         1 | route.pro-naive_form               |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 44 |        15 | pro-naive_table              |         1 | pro-naive_table              | /pro-naive/table              |                                   | mynaui:table                                      |         1 | route.pro-naive_table              |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 45 |        17 | exception_403                |         2 | exception_403                | /exception/403                | view.403                          | ic:baseline-block                                 |         1 | route.exception_403                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 46 |        17 | exception_404                |         2 | exception_404                | /exception/404                | view.404                          | ic:baseline-web-asset-off                         |         1 | route.exception_404                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 47 |        17 | exception_500                |         2 | exception_500                | /exception/500                | view.500                          | ic:baseline-wifi-off                              |         1 | route.exception_500                |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 48 |        18 | document_antd                |         2 | document_antd                | /document/antd                | view.iframe-page                  | logos:ant-design                                  |         1 | route.document_antd                |     7 |      1 |              |            |          |           | https://antdv.com/components/overview-cn                 |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 49 |        18 | document_naive               |         2 | document_naive               | /document/naive               | view.iframe-page                  | logos:naiveui                                     |         1 | route.document_naive               |     6 |      1 |              |            |          |           | https://www.naiveui.com/zh-CN/os-theme/docs/introduction |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 50 |        18 | document_pro-naive           |         2 | document_pro-naive           | /document/pro-naive           | view.iframe-page                  | logos:naiveui                                     |         1 | route.document_pro-naive           |     6 |      1 |              |            |          |           | https://naive-ui.pro-components.cn/                      |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 51 |        18 | document_alova               |         2 | document_alova               | /document/alova               | view.iframe-page                  | alova                                             |         2 | route.document_alova               |     7 |      1 |              |            |          |           | https://alova.js.org                                     |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 52 |        18 | document_project             |         2 | document_project             | /document/project             | view.iframe-page                  | logo                                              |         2 | route.document_project             |     1 |      1 |              |            |          |           | https://docs.soybeanjs.cn/zh                             |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 53 |        18 | document_project-link        |         2 | document_project-link        | /document/project-link        | view.iframe-page                  | logo                                              |         2 | route.document_project-link        |     2 |      1 |              |            |          |           | https://docs.soybeanjs.cn/zh                             |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 54 |        18 | document_video               |         2 | document_video               | /document/video               | view.iframe-page                  | logo                                              |         2 | route.document_video               |     2 |      1 |              |            |          |           | https://www.bilibili.com/video/BV1YKdRYXELC              |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 55 |        18 | document_unocss              |         2 | document_unocss              | /document/unocss              | view.iframe-page                  | logos:unocss                                      |         1 | route.document_unocss              |     5 |      1 |              |            |          |           | https://unocss.dev/                                      |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 56 |        18 | document_vite                |         2 | document_vite                | /document/vite                | view.iframe-page                  | logos:vitejs                                      |         1 | route.document_vite                |     4 |      1 |              |            |          |           | https://cn.vitejs.dev/                                   |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 57 |        18 | document_vue                 |         2 | document_vue                 | /document/vue                 | view.iframe-page                  | logos:vue                                         |         1 | route.document_vue                 |     3 |      1 |              |            |          |           | https://cn.vuejs.org/                                    |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 58 |        21 | function_hide-child_one      |         2 | function_hide-child_one      | /function/hide-child/one      | view.function_hide-child_one      | material-symbols:filter-list-off                  |         1 | route.function_hide-child_one      |       |      1 | t            |            |          |           |                                                          | function_hide-child |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 59 |        21 | function_hide-child_three    |         2 | function_hide-child_three    | /function/hide-child/three    | view.function_hide-child_three    |                                                   |           | route.function_hide-child_three    |       |      1 | t            |            |          |           |                                                          | function_hide-child |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 60 |        21 | function_hide-child_two      |         2 | function_hide-child_two      | /function/hide-child/two      | view.function_hide-child_two      |                                                   |           | route.function_hide-child_two      |       |      1 | t            |            |          |           |                                                          | function_hide-child |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 61 |        26 | multi-menu_first_child       |         2 | multi-menu_first_child       | /multi-menu/first/child       | view.multi-menu_first_child       |                                                   |           | route.multi-menu_first_child       |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 62 |        27 | multi-menu_second_child      |         1 | multi-menu_second_child      | /multi-menu/second/child      |                                   |                                                   |           | route.multi-menu_second_child      |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 63 |        29 | plugin_charts_antv           |         2 | plugin_charts_antv           | /plugin/charts/antv           | view.plugin_charts_antv           | hugeicons:flow-square                             |         1 | route.plugin_charts_antv           |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 64 |        29 | plugin_charts_echarts        |         2 | plugin_charts_echarts        | /plugin/charts/echarts        | view.plugin_charts_echarts        | simple-icons:apacheecharts                        |         1 | route.plugin_charts_echarts        |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 65 |        29 | plugin_charts_vchart         |         2 | plugin_charts_vchart         | /plugin/charts/vchart         | view.plugin_charts_vchart         | visactor                                          |         2 | route.plugin_charts_vchart         |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 66 |        31 | plugin_editor_markdown       |         2 | plugin_editor_markdown       | /plugin/editor/markdown       | view.plugin_editor_markdown       | ri:markdown-line                                  |         1 | route.plugin_editor_markdown       |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 67 |        31 | plugin_editor_quill          |         2 | plugin_editor_quill          | /plugin/editor/quill          | view.plugin_editor_quill          | mdi:file-document-edit-outline                    |         1 | route.plugin_editor_quill          |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 68 |        33 | plugin_gantt_dhtmlx          |         2 | plugin_gantt_dhtmlx          | /plugin/gantt/dhtmlx          | view.plugin_gantt_dhtmlx          |                                                   |           | route.plugin_gantt_dhtmlx          |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 69 |        33 | plugin_gantt_vtable          |         2 | plugin_gantt_vtable          | /plugin/gantt/vtable          | view.plugin_gantt_vtable          | visactor                                          |         2 | route.plugin_gantt_vtable          |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 70 |        40 | plugin_tables_vtable         |         2 | plugin_tables_vtable         | /plugin/tables/vtable         | view.plugin_tables_vtable         | visactor                                          |         2 | route.plugin_tables_vtable         |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 71 |        43 | pro-naive_form_basic         |         2 | pro-naive_form_basic         | /pro-naive/form/basic         | view.pro-naive_form_basic         |                                                   |           | route.pro-naive_form_basic         |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 72 |        43 | pro-naive_form_query         |         2 | pro-naive_form_query         | /pro-naive/form/query         | view.pro-naive_form_query         |                                                   |           | route.pro-naive_form_query         |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 73 |        43 | pro-naive_form_step          |         2 | pro-naive_form_step          | /pro-naive/form/step          | view.pro-naive_form_step          |                                                   |           | route.pro-naive_form_step          |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 74 |        44 | pro-naive_table_remote       |         2 | pro-naive_table_remote       | /pro-naive/table/remote       | view.pro-naive_table_remote       |                                                   |           | route.pro-naive_table_remote       |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 75 |        44 | pro-naive_table_row-edit     |         2 | pro-naive_table_row-edit     | /pro-naive/table/row-edit     | view.pro-naive_table_row-edit     |                                                   |           | route.pro-naive_table_row-edit     |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 76 |        62 | multi-menu_second_child_home |         2 | multi-menu_second_child_home | /multi-menu/second/child/home | view.multi-menu_second_child_home |                                                   |           | route.multi-menu_second_child_home |       |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 77 |         2 | manage_audit                 |         2 | manage_audit                 | /manage/audit                 | view.manage_audit                 | mdi:clipboard-text-search-outline                 |         1 | route.manage_audit                 |     6 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 78 |         2 | manage_ip-rule               |         2 | manage_ip-rule               | /manage/ip-rule               | view.manage_ip-rule               | mdi:shield-lock-outline                           |         1 | route.manage_ip-rule               |     7 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
(78 rows)

