 id  | ptype |      v0       |                  v1                   |   v2   | v3 | v4 | v5 | protected |          created_at           | created_by 
  29 | p     | R_SUPER       | /systemManage/updateMenu              | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  30 | p     | R_SUPER       | /systemManage/deleteMenu              | DELETE |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  31 | p     | R_SUPER       | /systemManage/batchDeleteMenu         | DELETE |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  32 | p     | R_SUPER       | /systemManage/getRoleMenu             | GET    |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  33 | p     | R_SUPER       | /systemManage/updateRoleMenu          | POST   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  34 | p     | R_SUPER       | /systemManage/getRoleHome             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  35 | p     | R_SUPER       | /systemManage/updateRoleHome          | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  36 | p     | R_SUPER       | B_CODE1                               | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  37 | p     | R_SUPER       | B_CODE2                               | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  38 | p     | R_SUPER       | B_CODE3                               | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  39 | p     | R_SUPER       | user:add                              | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  40 | p     | R_SUPER       | user:edit                             | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  41 | p     | R_SUPER       | user:delete                           | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  42 | p     | R_ADMIN       | B_CODE2                               | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  43 | p     | R_ADMIN       | B_CODE3                               | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  44 | p     | R_ADMIN       | user:edit                             | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  45 | p     | R_USER_COMMON | B_CODE3                               | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  46 | p     | R_SUPER       | function                              | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  47 | p     | R_ADMIN       | function                              | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  48 | p     | R_USER_COMMON | function                              | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  49 | p     | R_SUPER       | function_toggle-auth                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  50 | p     | R_ADMIN       | function_toggle-auth                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  51 | p     | R_USER_COMMON | function_toggle-auth                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  52 | p     | R_SUPER       | /systemManage/getAllButtons           | GET    |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  53 | p     | R_SUPER       | /systemManage/getRoleButton           | GET    |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  54 | p     | R_SUPER       | /systemManage/updateRoleButton        | POST   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  55 | p     | R_SUPER       | /systemManage/getAllEndpoints         | GET    |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  56 | p     | R_SUPER       | /systemManage/getRoleEndpoints        | GET    |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  57 | p     | R_SUPER       | /systemManage/updateRoleEndpoints     | POST   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  58 | p     | R_SUPER       | role:add                              | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  59 | p     | R_SUPER       | role:edit                             | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  60 | p     | R_SUPER       | role:delete                           | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  61 | p     | R_SUPER       | menu:add                              | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  62 | p     | R_SUPER       | menu:edit                             | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  63 | p     | R_SUPER       | menu:delete                           | button |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  64 | p     | R_SUPER       | /systemManage/getDeletedMenus         | GET    |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  65 | p     | R_SUPER       | /systemManage/restoreMenu             | POST   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  66 | p     | R_SUPER       | /systemManage/getSystemSettings       | GET    |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  67 | p     | R_SUPER       | /systemManage/updateSystemSetting     | POST   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  68 | p     | R_SUPER       | /systemManage/updateUserSessionPolicy | POST   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  69 | p     | R_SUPER       | manage_system-settings                | menu   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  70 | p     | R_SUPER       | /systemManage/getArchivedPolicies     | GET    |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  71 | p     | R_SUPER       | /systemManage/restorePolicy           | POST   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  72 | p     | R_SUPER       | manage_policy-archive                 | menu   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  73 | p     | R_SUPER       | about                                 | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  74 | p     | R_SUPER       | alova                                 | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  75 | p     | R_SUPER       | alova_request                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  76 | p     | R_SUPER       | alova_scenes                          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  77 | p     | R_SUPER       | function_hide-child                   | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  78 | p     | R_SUPER       | function_hide-child_one               | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  79 | p     | R_SUPER       | function_hide-child_three             | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  80 | p     | R_SUPER       | function_hide-child_two               | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  81 | p     | R_SUPER       | function_multi-tab                    | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  82 | p     | R_SUPER       | function_request                      | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  83 | p     | R_SUPER       | function_super-page                   | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  84 | p     | R_SUPER       | function_tab                          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  85 | p     | R_SUPER       | multi-menu                            | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  86 | p     | R_SUPER       | multi-menu_first                      | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  87 | p     | R_SUPER       | multi-menu_first_child                | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  88 | p     | R_SUPER       | multi-menu_second                     | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  89 | p     | R_SUPER       | multi-menu_second_child               | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  90 | p     | R_SUPER       | multi-menu_second_child_home          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  91 | p     | R_SUPER       | plugin                                | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  92 | p     | R_SUPER       | plugin_barcode                        | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  93 | p     | R_SUPER       | plugin_charts                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  94 | p     | R_SUPER       | plugin_charts_antv                    | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  95 | p     | R_SUPER       | plugin_charts_echarts                 | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  96 | p     | R_SUPER       | plugin_charts_vchart                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  97 | p     | R_SUPER       | plugin_copy                           | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  98 | p     | R_SUPER       | plugin_editor                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  99 | p     | R_SUPER       | plugin_editor_markdown                | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 100 | p     | R_SUPER       | plugin_editor_quill                   | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 101 | p     | R_SUPER       | plugin_excel                          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 102 | p     | R_SUPER       | plugin_gantt                          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 103 | p     | R_SUPER       | plugin_gantt_dhtmlx                   | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 104 | p     | R_SUPER       | plugin_gantt_vtable                   | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 105 | p     | R_SUPER       | plugin_icon                           | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 106 | p     | R_SUPER       | plugin_map                            | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 107 | p     | R_SUPER       | plugin_pdf                            | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 108 | p     | R_SUPER       | plugin_pinyin                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 109 | p     | R_SUPER       | plugin_print                          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 110 | p     | R_SUPER       | plugin_swiper                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 111 | p     | R_SUPER       | plugin_tables                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 112 | p     | R_SUPER       | plugin_tables_vtable                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 113 | p     | R_SUPER       | plugin_typeit                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 114 | p     | R_SUPER       | plugin_video                          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 115 | p     | R_SUPER       | pro-naive                             | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 116 | p     | R_SUPER       | pro-naive_form                        | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 117 | p     | R_SUPER       | pro-naive_form_basic                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 118 | p     | R_SUPER       | pro-naive_form_query                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 119 | p     | R_SUPER       | pro-naive_form_step                   | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 120 | p     | R_SUPER       | pro-naive_table                       | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 121 | p     | R_SUPER       | pro-naive_table_remote                | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 122 | p     | R_SUPER       | pro-naive_table_row-edit              | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 123 | p     | R_SUPER       | user-center                           | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 124 | p     | R_SUPER       | exception                             | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 125 | p     | R_SUPER       | exception_403                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 126 | p     | R_SUPER       | exception_404                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 127 | p     | R_SUPER       | exception_500                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 128 | p     | R_SUPER       | document                              | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 129 | p     | R_SUPER       | document_antd                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 130 | p     | R_SUPER       | document_naive                        | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 131 | p     | R_SUPER       | document_pro-naive                    | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 132 | p     | R_SUPER       | document_alova                        | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 133 | p     | R_SUPER       | document_project                      | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 134 | p     | R_SUPER       | document_project-link                 | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 135 | p     | R_SUPER       | document_video                        | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 136 | p     | R_SUPER       | document_unocss                       | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 137 | p     | R_SUPER       | document_vite                         | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 138 | p     | R_SUPER       | document_vue                          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 139 | p     | R_SUPER       | /systemManage/getOperationLog         | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 140 | p     | R_SUPER       | /systemManage/getAccessLog            | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 141 | p     | R_SUPER       | /systemManage/getLoginAttempt         | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 142 | p     | R_SUPER       | manage_audit                          | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 143 | p     | R_SUPER       | /systemManage/getIpRuleList           | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 144 | p     | R_SUPER       | /systemManage/addIpRule               | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 145 | p     | R_SUPER       | /systemManage/updateIpRule            | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 146 | p     | R_SUPER       | /systemManage/deleteIpRule            | DELETE |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 147 | p     | R_SUPER       | /systemManage/restoreIpRule           | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 148 | p     | R_SUPER       | /systemManage/unlockLogin             | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
 149 | p     | R_SUPER       | manage_ip-rule                        | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
(149 rows)

